name,image,description,allergy,booth_location,map_page_food_location,genre,logo_path,dish_image_path,is_vegan,payments,allergens,dishes
"Miraku Boston","assets/foodLogo/miraku_boston.png","Zangi, sweets","Contains gluten","B","B","Japanese","assets/foodLogo/miraku_boston.png","assets/food/zangi.jpg",true,"Cash|Venmo","Wheat","Zangi (Hokkaido-style Fried Chicken);Crispy fried chicken pieces marinated in special sauce;8.99;Wheat/Soy/Egg/Sesame;assets/food/zangi.jpg;false|Cheescake;Soft, creamy, and fluffy dessert, very tasty;5.99;Wheat/Egg/Milk;assets/food/cheescake.jpg;true"
"Cafe Itadaki","assets/foodLogo/cafe_itadaki.jpg","Takoyaki, fried chicken, snacks, Ramune","Contains wheat, soy","C","C","Japanese","assets/foodLogo/cafe_itadaki.jpg","assets/food/itadaki_takoyaki.jpg",true,"Cash","Wheat|Soy","Takoyaki;Octopus balls topped with sauce, mayo, and bonito flakes;7.99;Wheat/Soy/Fish/Egg;assets/food/16. Takoyaki.jpg;false|Karaage;Japanese-style fried chicken;8.99;Wheat/Soy;assets/food/zangi.jpg;false|Ramune Soda;Japanese marble soda in various flavors;3.99;;assets/food/Ramune.jpg;true"
"Tori Jiro","assets/food/tori_jori.jpg","Yakitori, grilled skewers, dessert, drinks","Contains soy","B","B","Japanese","assets/foodLogo/tori_jori_logo.jpg","assets/food/tori_jori.jpg",true,"Cash","Soy","Chicken Yakitori;Grilled chicken skewers with tare sauce;6.99;Soy;assets/food/Chicken Yakitori.jpg;false|Vegetable Skewers;Grilled seasonal vegetables with salt;5.99;;assets/food/Vegan_yakitori.jpeg;true|Dorayaki;Japanese pancake with sweet red bean filling;4.99;Wheat/Egg;assets/food/dorayaki.jpg;false"
"Tokyo Teriyaki Chicken","assets/food/TeriyakiDon.png","Teriyaki Chicken Bowl, Matcha Dessert and Boba Tea","Contains soy, dairy","C","C","Japanese","assets/foodLogo/Bosso.jpg","assets/food/TeriyakiDon.png",false,"Cash","Soy|Milk","Teriyaki Chicken Bowl;Grilled chicken with teriyaki sauce over rice;10.99;Soy;assets/food/tokyo_teriyaki.jpg;false|Matcha Ice Cream;Green tea flavored ice cream;4.99;Milk;assets/food/Matcha.webp;false|Boba Milk Tea;Sweet milk tea with tapioca pearls;5.99;Milk;assets/food/Milktea.webp;false"
"Akita Rice Smoothie","assets/akita_smoothie.png","AKITA RICE SMOOTHIE Berry, Amazake","Contains soy","B","B","Japanese","assets/foodLogo/Akita.png","assets/food/akitaRiceSmoothie.jpg",false,"Cash|Venmo","Soy","AKITA RICE SMOOTHIE Berry;Creamy smoothie with a touch of Berries;4.99;Soy;assets/food/Berry.jpeg;false|Amazake;Creamy sweet sake smoothie;6.99;Soy;assets/food/amazake.jpg;false"
"Beard Papa's","assets/food/beard_papa.jpg","Cream puffs and boba tea","Contains dairy, wheat","A","A","Bakery","assets/foodLogo/beard_papaIcon.jpg","assets/food/beard_papa.jpg",false,"Cash|Zelle|Credit Card","Egg|Milk|Wheat","Vanilla Cream Puff;Crispy shell filled with vanilla custard cream;4.99;Milk/Wheat/Egg;assets/food/vanilla_cream_puff.png;false|Milk Tea;Classic milk tea with tapioca pearls;5.99;Milk;assets/food/Milktea.webp;false"
"Wakazo Gyoza","assets/food/wakazo_gyoza.jpg","Gyoza, water, soft drinks","Contains wheat","B","B","Japanese","assets/foodLogo/WakazoIcon.png","assets/food/wakazo_gyoza.jpg",false,"Cash|Venmo|PayPal","Wheat|Soy","Pan-fried Gyoza (6 pcs);Japanese dumplings filled with pork and vegetables;7.99;Wheat/Soy;assets/food/wakazo_gyoza.jpg;false|Vegetable Gyoza (6 pcs);Dumplings filled with cabbage, carrots, and mushrooms;7.49;Wheat/Soy;assets/food/veggie_gyoza.png;true|Bottled Water;500ml bottled water;2.0;;assets/food/WATER.jpg;true"
"Ichiban Kimchi","assets/food/8. Ichiban Kimchi.jpg","Kimchi, reference:","Contains soy","A","A","Korean","assets/foodLogo/Ichiban.jpg","assets/food/8. Ichiban Kimchi.jpg",true,"Cash|Zelle|Credit Card","Soy","Mochi Kimchi;chewy texture of the mochi are addictively delicious;8.99;Soy/Wheat/Fish/Shellfish/Sesame;assets/food/8. Ichiban Kimchi.jpg;true|Potato Butter Kimchi;The richness of the butter and the umami of the kimchi;7.99;Soy/Wheat/Fish/Shellfish/Sesame;assets/food/Butter Kimchi.png;true"
"Japan Onigiri Akitaya","assets/food/18. A) Akitaya.jpg","Rice ball (onigiri)","Contains soy, seaweed","A2-2","B","Japanese","assets/foodLogo/akitayalogo.png","assets/food/18. A) Akitaya.jpg",true,"Cash|Venmo|PayPal","Soy","Umeboshi Onigiri;Rice ball with pickled plum filling;3.99;;assets/food/ume.jpg;true|Seaweed Onigiri;Rice ball filled with seasoned seaweed;3.99;Soy;assets/food/onini.jpg;true|Tuna Mayo Onigiri;Rice ball with tuna and mayonnaise filling;4.5;Fish/Egg/Soy;assets/food/tunatuna.jpg;false"
"Ramen Nikkou","assets/food/ramen.jpg","Kottreri Paitan Ramen","Contains wheat, soy, sesame","A","A","Ramen","assets/foodLogo/ramen_nikkou.png","assets/food/11. Nikko Ramen.jpg",false,"Cash|Venmo","Wheat|Soy|Sesame","Kottreri Paitan Ramen;Rich and creamy chicken ramen;13.0;Wheat/Soy/Sesame;assets/food/11. Nikko Ramen.jpg;false"
